NER,frequency,to appear? (yes/no),EN name,EL name
telecommunications providers,1,yes,Telecommunications Providers,Πάροχοι Τηλεπικοινωνιών
energy cartel,1,yes,Energy Cartel,Ενεργειακό Καρτέλ
government of impunity,1,yes,Government Of Impunity,Κυβέρνηση Της Ατιμωρησίας
pagasitikos,1,yes,Pagasitikos,Pagasitikos
sporades,1,yes,Sporades,Σποράδες
ordinary everyday people,1,yes,Ordinary Everyday People,Απλοί Καθημερινοί Άνθρωποι
1918 congress of the gsee,1,yes,1918 Congress Of The Gsee,1918 Συνέδριο Της Gsee
socialist workers' party,1,yes,Socialist Workers' Party,Σοσιαλιστικό Εργατικό Κόμμα
small and medium-sized entrepreneurship,1,yes,Small And Medium-sized Entrepreneurship,Μικρομεσαία Επιχειρηματικότητα
first party,1,yes,First Party,Πρώτο Κόμμα
labourers,1,yes,Labourers,Εργάτες
vouchers,1,yes,Vouchers,Κουπόνια
powerful people,1,yes,Powerful People,Ισχυροί Άνθρωποι
prime minister's nephew,1,yes,Prime Minister's Nephew,Ανιψιός Του Πρωθυπουργού
ppos (public procurement organizations),1,yes,Ppos (public Procurement Organizations),Ppos (οργανισμοί Δημοσίων Συμβάσεων)
tembi,1,yes,Tembi,Tembi
tembes,1,yes,Tembes,Tembes
cse,1,yes,Cse,Cse
dake,1,yes,Dake,Dake
150€,1,yes,150€,150€
national socialist system,1,yes,National Socialist System,Εθνικοσοσιαλιστικό Σύστημα
labor rights,1,yes,Labor Rights,Εργασιακά Δικαιώματα
ballot,1,yes,Ballot,Ψηφοδέλτιο
house of assembly,1,yes,House Of Assembly,Βουλή Των Αντιπροσώπων
college masters,1,yes,College Masters,College Masters
rethymnian,1,yes,Rethymnian,Rethymnian
rethymno,1,yes,Rethymno,Rethymno
pseudo-cretan athenian,1,yes,Pseudo-cretan Athenian,Ψευδο-κρητική Αθηναϊκή
st. titus,1,yes,St. Titus,Άγιος Τίτος
25 alliance for break,1,yes,25 Alliance For Break,25 Συμμαχία Για Διάλειμμα
catering,1,yes,Catering,Catering
political factions,1,yes,Political Factions,Πολιτικές Παρατάξεις
tonight,1,yes,Tonight,Απόψε
president andres manuel lopez obrador,1,yes,President Andres Manuel Lopez Obrador,Πρόεδρος Andres Manuel Lopez Obrador
dimitris zographakis,1,yes,Dimitris Zographakis,Dimitris Zographakis
fotini koutraki,1,yes,Fotini Koutraki,Φωτεινή Κουτράκη
george kriarakis,1,yes,George Kriarakis,George Kriarakis
michael kritsotakis,1,yes,Michael Kritsotakis,Μιχαήλ Κριτσωτάκης
george loyadi,1,yes,George Loyadi,George Loyadi
apostolos louloudakis,1,yes,Apostolos Louloudakis,Απόστολος Λουλουδάκης
dominiki mathioudakis,1,yes,Dominiki Mathioudakis,Δομινίκη Μαθιουδάκη
george bougias,1,yes,George Bougias,Γεώργιος Μπούγιας
irene haronitis,1,yes,Irene Haronitis,Irene Haronitis
katerina hatzaki,1,yes,Katerina Hatzaki,Κατερίνα Χατζάκη
heraklion county,1,yes,Heraklion County,Νομός Ηρακλείου
stournaras bank of greece,1,yes,Stournaras Bank Of Greece,Stournaras Bank Of Greece
council of economic experts,1,yes,Council Of Economic Experts,Συμβούλιο Οικονομικών Εμπειρογνωμόνων
finance ministry,1,yes,Finance Ministry,Υπουργείο Οικονομικών
vangelis marinakis,1,yes,Vangelis Marinakis,Βαγγέλης Μαρινάκης
mr. alafuzos,1,yes,Mr. Alafuzos,Κ. Αλαφούζος
skaj,1,yes,Skaj,Skj
poutinakia,1,yes,Poutinakia,Poutinacia
new,1,yes,New,Νέο
cleon grigoriadis,1,yes,Cleon Grigoriadis,Κλέων Γρηγοριάδης
michael kritharidis,1,yes,Michael Kritharidis,Μιχαήλ Κριθαρίδης
skurchos,1,yes,Skurchos,Skurchos
olaf scholz,1,yes,Olaf Scholz,Olaf Scholz
steinmeier,1,yes,Steinmeier,Steinmeier
schröder,1,yes,Schröder,Schröder
mr skertzos,1,yes,Mr Skertzos,Κ. Σκέρτσος
people of the shops,1,yes,People Of The Shops,Άνθρωποι Των Καταστημάτων
people of the breadwinner,1,yes,People Of The Breadwinner,Ο Λαός Του Βιοπαλαιστή
sallas' piraeus,1,yes,Sallas' Piraeus,Ο Πειραιάς Του Σάλλα
john paulson's piraeus,1,yes,John Paulson's Piraeus,Ο Πειραιάς Του John Paulson
hiring companies,1,yes,Hiring Companies,Εταιρείες Πρόσληψης
advisory councils of conscripts and elected citizens,1,yes,Advisory Councils Of Conscripts And Elected Citizens,Συμβουλευτικά Συμβούλια Κληρωτών Και Εκλεγμένων Πολιτών
supreme court justices,1,yes,Supreme Court Justices,Ανώτατοι Δικαστές
supreme judges,1,yes,Supreme Judges,Ανώτατοι Δικαστές
clerical judges,1,yes,Clerical Judges,Κληρικοί Δικαστές
public utility,1,yes,Public Utility,Δημόσια Επιχείρηση Κοινής Ωφέλειας
greek railway organisation,1,yes,Greek Railway Organisation,Ελληνικός Οργανισμός Σιδηροδρόμων
october,1,yes,October,Οκτώβριος
irish fund,1,yes,Irish Fund,Ιρλανδικό Ταμείο
vardinoyannis family,1,yes,Vardinoyannis Family,Οικογένεια Βαρδινογιάννη
kefalogiannis family,1,yes,Kefalogiannis Family,Οικογένεια Κεφαλογιάννη
sicilian mafia,1,yes,Sicilian Mafia,Σικελική Μαφία
british central electricity generating bolt,1,yes,British Central Electricity Generating Bolt,Βρετανική Κεντρική Ηλεκτροπαραγωγική Βίδα
national union of mineworkers,1,yes,National Union Of Mineworkers,Εθνική Ένωση Εργαζομένων Στα Ορυχεία
cooly,1,yes,Cooly,Cooly
heracles,1,yes,Heracles,Ηρακλής
yannis,1,yes,Yannis,Yannis
meta,1,yes,Meta,Meta
odysseus plan,1,yes,Odysseus Plan,Σχέδιο Οδυσσέας
kenya,1,yes,Kenya,Κένυα
ghana,1,yes,Ghana,Γκάνα
khartoum,1,yes,Khartoum,Khartoum
kazantzakis,1,yes,Kazantzakis,Καζαντζάκης
american army,1,yes,American Army,Αμερικανικός Στρατός
american ambassador,1,yes,American Ambassador,Αμερικανός Πρέσβης
tony blair,1,yes,Tony Blair,Tony Blair
ukrainian people,1,yes,Ukrainian People,Ουκρανικός Λαός
biden,1,yes,Biden,Biden
estonians,1,yes,Estonians,Estonians
finns,1,yes,Finns,Είναι
swedes,1,yes,Swedes,Σουηδία
estonian,1,yes,Estonian,Εσθονικά
oscar wilde,1,yes,Oscar Wilde,Όσκαρ Ουάιλντ
25 day alliance for rupture,1,yes,25 Day Alliance For Rupture,Συμμαχία 25 Ημερών Για Ρήξη
george valamoutopoulos,1,yes,George Valamoutopoulos,Γεώργιος Βηματόπουλος
delos,1,yes,Delos,Delos
luxemburg,1,yes,Luxemburg,Λουξεμβούργο
metropolis,1,yes,Metropolis,Μητρόπολη
factories,1,yes,Factories,Εργοστάσια
containment,1,yes,Containment,Περιορισμός
franz,1,yes,Franz,Franz
farmers markets,1,yes,Farmers Markets,Λαϊκές Αγορές
bardinoyannis,1,yes,Bardinoyannis,Bardinoyannis
mythilinium,1,yes,Mythilinium,Mythilinium
dove,1,yes,Dove,Όπου
mytilineus,1,yes,Mytilineus,Mytilineus
third banks,1,yes,Third Banks,Τρίτες Τράπεζες
public property,1,yes,Public Property,Δημόσια Ιδιοκτησία
mitsotaki,1,yes,Mitsotaki,Mitsotaki
evdath,1,yes,Evdath,Evdath
german occupation,1,yes,German Occupation,Γερμανική Κατοχή
michael kritharides,1,yes,Michael Kritharides,Michael Kritharides
alafuso,1,yes,Alafuso,Alafuso
haratzi,1,yes,Haratzi,Haratzi
taxpayer's tax id,1,yes,Taxpayer's Tax Id,Φορολογική Ταυτότητα Του Φορολογούμενου
netanyahu,1,yes,Netanyahu,Netanyahu
jesus,1,yes,Jesus,Ιησούς
rio de janeiro,1,yes,Rio De Janeiro,Ρίο Ντε Τζανέιρο
iraqi,1,yes,Iraqi,Ιρακινό
us navy,1,yes,Us Navy,Πολεμικό Ναυτικό Των Ηπα
tesla,1,yes,Tesla,Tesla
stock exchanges,1,yes,Stock Exchanges,Χρηματιστήρια
nature,1,yes,Nature,Φύση
candidates,1,yes,Candidates,Υποψήφιοι
party of the militant left,1,yes,Party Of The Militant Left,Κόμμα Της Μαχητικής Αριστεράς
last ten days,1,yes,Last Ten Days,Τις Τελευταίες Δέκα Ημέρες
global left,1,yes,Global Left,Παγκόσμια Αριστερά
global democratic movement,1,yes,Global Democratic Movement,Παγκόσμιο Δημοκρατικό Κίνημα
le pen,1,yes,Le Pen,Στυλό
memorandumists,1,yes,Memorandumists,Memorandumists
yperatfond,1,yes,Yperatfond,Yperate Fund
foreign conquerors,1,yes,Foreign Conquerors,Ξένοι Κατακτητές
orwell,1,yes,Orwell,Orwell
french-german banks,1,yes,French-german Banks,Γαλλογερμανικές Τράπεζες
treaties,1,yes,Treaties,Συνθήκες
international literature,1,yes,International Literature,Διεθνής Λογοτεχνία
mr. paulson,1,yes,Mr. Paulson,Κ. Paulson
health and metropolitan,1,yes,Health And Metropolitan,Υγεία Και Μητροπολιτική
public company,1,yes,Public Company,Δημόσια Επιχείρηση
e-books,1,yes,E-books,Ηλεκτρονικά Βιβλία
red debts,1,yes,Red Debts,Κόκκινα Χρέη
farm land,1,yes,Farm Land,Γεωργική Γη
farmer's wife,1,yes,Farmer's Wife,Σύζυγος Αγρότη
predatory fund,1,yes,Predatory Fund,Ληστρικό Ταμείο
property,1,yes,Property,Ιδιοκτησία
enforcement,1,yes,Enforcement,Επιβολή Της Νομοθεσίας
red loan,1,yes,Red Loan,Κόκκινο Δάνειο
value,1,yes,Value,Αξία
the river,1,yes,The River,Το Ποτάμι
kuvelakis,1,yes,Kuvelakis,Κουβελάκης
mrs. thatcher,1,yes,Mrs. Thatcher,Κα. Thatcher
late '70s,1,yes,Late '70s,Τέλη Της Δεκαετίας Του '70
british public,1,yes,British Public,Βρετανικό Κοινό
british public power company,1,yes,British Public Power Company,Βρετανική Δημόσια Εταιρεία Ηλεκτρικής Ενέργειας
dedde,1,yes,Dedde,Σε Αυτό
parliamentary councils of lotteries,1,yes,Parliamentary Councils Of Lotteries,Κοινοβουλευτικά Συμβούλια Λαχείων
biome-type cooperative enterprises,1,yes,Biome-type Cooperative Enterprises,Συνεταιριστικές Επιχειρήσεις Βιολογικού Τύπου
public electricity utility,1,yes,Public Electricity Utility,Δημόσια Επιχείρηση Ηλεκτρισμού
democrat voters,1,yes,Democrat Voters,Δημοκράτες Ψηφοφόροι
election law,1,yes,Election Law,Εκλογικός Νόμος
mark blythe,1,yes,Mark Blythe,Mark Blythe
nick theocharakis,1,yes,Nick Theocharakis,Nick Theocharakis
city hall,1,yes,City Hall,Δημαρχείο
june 2015,1,yes,June 2015,Ιούνιος 2015
21/05,1,yes,21/05,21/05
comrades of popular unity,1,yes,Comrades Of Popular Unity,Σύντροφοι Της Λαϊκής Ενότητας
non-aligned,1,yes,Non-aligned,Μη Ευθυγραμμισμένο
non-aligned left,1,yes,Non-aligned Left,Μη Ευθυγραμμισμένο Αριστερά
friday 03/07/2015,1,yes,Friday 03/07/2015,Παρασκευή 03/07/2015
trampa,1,yes,Trampa,Τραμπάλα
nonaligned,1,yes,Nonaligned,Nonaligned
amlo,1,yes,Amlo,Amlo
lula,1,yes,Lula,Lula
internationalism,1,yes,Internationalism,Διεθνισμός
syrians,1,yes,Syrians,Σύριοι
athens west sector,1,yes,Athens West Sector,Δυτικός Τομέας Αθήνας
mr. arsenis,1,yes,Mr. Arsenis,Κ. Αρσένης
elias,1,yes,Elias,Elias
crito,1,yes,Crito,Κρίτωνας
helen poulou,1,yes,Helen Poulou,Helen Poulou
john leventidis,1,yes,John Leventidis,John Leventidis
argyro,1,yes,Argyro,Argyro
jella,1,yes,Jella,Jella
georgia xidopoulou,1,yes,Georgia Xidopoulou,Γεωργία Ξυδοπούλου
charilaos florakis,1,yes,Charilaos Florakis,Χαρίλαος Φλωράκης
marios παρασκευopoulos,1,yes,Marios Παρασκευopoulos,Marios Παρασκευopoulos
maria rizopoulou,1,yes,Maria Rizopoulou,Maria Rizopoulou
nicholas sakoutis,1,yes,Nicholas Sakoutis,Νικόλαος Σακούτης
nikolas haralampopoulos,1,yes,Nikolas Haralampopoulos,Νικόλας Χαραλαμπόπουλος
konstantinos houliaras,1,yes,Konstantinos Houliaras,Κωνσταντίνος Χουλιάρας
chrysavgi chronopoulou,1,yes,Chrysavgi Chronopoulou,Χρυσαυγή Χρονοπούλου
yannis chaltas,1,yes,Yannis Chaltas,Γιάννης Χάλτας
sex pitchers,1,yes,Sex Pitchers,Στάμνες Του Σεξ
god save the queen,1,yes,God Save The Queen,Ο Θεός Σώζει Τη Βασίλισσα
marxist greek,1,yes,Marxist Greek,Marxist Greek
people's unity party,1,yes,People's Unity Party,Κόμμα Λαϊκής Ενότητας
class warfare,1,yes,Class Warfare,Ταξικός Πόλεμος
memorial parties,1,yes,Memorial Parties,Πάρτι Μνήμης
memorandum regime,1,yes,Memorandum Regime,Καθεστώς Μνημονίου
hrododoulo-palace,1,yes,Hrododoulo-palace,Hrododoulo-palace
greek university,1,yes,Greek University,Ελληνικό Πανεπιστήμιο
temps,1,yes,Temps,Χρόνος
artists' movement,1,yes,Artists' Movement,Κίνημα Καλλιτεχνών
drama schools,1,yes,Drama Schools,Δραματικές Σχολές
school of performing arts,1,yes,School Of Performing Arts,Σχολή Παραστατικών Τεχνών
progressive society,1,yes,Progressive Society,Προοδευτική Κοινωνία
political health programs,1,yes,Political Health Programs,Πολιτικά Προγράμματα Υγείας
edf,1,yes,Edf,Edf
apple,1,yes,Apple,Μήλο
facebook,1,yes,Facebook,Facebook
tiktok,1,yes,Tiktok,Tiktok
asteroid market,1,yes,Asteroid Market,Αγορά Αστεροειδών
individual,1,yes,Individual,Ατομικό
trillion dollars,1,yes,Trillion Dollars,Τρισεκατομμύρια Δολάρια
25 alliance for the rupture,1,yes,25 Alliance For The Rupture,25 Συμμαχία Για Το Ρήγμα
vorides,1,yes,Vorides,Vorides
fascist,1,yes,Fascist,Φασίστας
nationalism,1,yes,Nationalism,Εθνικισμός
arms dealers,1,yes,Arms Dealers,Έμποροι Όπλων
traffickers,1,yes,Traffickers,Διακινητές
jacques,1,yes,Jacques,Jacques
zack,1,yes,Zack,Zack
judicial system,1,yes,Judicial System,Δικαστικό Σύστημα
mandatory service,1,yes,Mandatory Service,Υποχρεωτική Υπηρεσία
national security,1,yes,National Security,Εθνική Ασφάλεια
militarism,1,yes,Militarism,Μιλιταρισμός
female infanticide,1,yes,Female Infanticide,Θηλυκή Παιδοκτονία
lgbti people,1,yes,Lgbti People,Lgbti Άτομα
strike,1,yes,Strike,Απεργία
stadium,1,yes,Stadium,Στάδιο
constitution addition,1,yes,Constitution Addition,Προσθήκη Συντάγματος
trade union bodies,1,yes,Trade Union Bodies,Συνδικαλιστικοί Φορείς
adedi gsee,1,yes,Adedi Gsee,Ποσότητα Gsee
labor leaders,1,yes,Labor Leaders,Εργατικοί Ηγέτες
youth rights,1,yes,Youth Rights,Δικαιώματα Των Νέων
vasilis,1,yes,Vasilis,Vasilis
general motors,1,yes,General Motors,General Motors
volkswagen,1,yes,Volkswagen,Volkswagen
netherlands,1,yes,Netherlands,Κάτω Χώρες
2008,1,yes,2008,2008
companeros,1,yes,Companeros,Εταίροι
mpr,1,yes,Mpr,Mpr
new york state radio station,1,yes,New York State Radio Station,Ραδιοφωνικός Σταθμός Της Πολιτείας Της Νέας Υόρκης
the banks,1,yes,The Banks,Οι Τράπεζες
demeter system,1,yes,Demeter System,Σύστημα Demeter
charles marx,1,yes,Charles Marx,Charles Marx
friedrich engels,1,yes,Friedrich Engels,Friedrich Engels
statist,1,yes,Statist,Statist
aristotle,1,yes,Aristotle,Αριστοτέλης
cooperative,1,yes,Cooperative,Συνεργατικό
new technologies,1,yes,New Technologies,Νέες Τεχνολογίες
there,1,yes,There,Εκεί
movement,1,yes,Movement,Κίνηση
left-wing militant faction,1,yes,Left-wing Militant Faction,Αριστερή Μαχητική Παράταξη
war in ukraine,1,yes,War In Ukraine,Ήταν Στην Ουκρανία
new cold war,1,yes,New Cold War,Νέος Ψυχρός Πόλεμος
world peace movement,1,yes,World Peace Movement,Παγκόσμιο Κίνημα Ειρήνης
president of brazil,1,yes,President Of Brazil,Πρόεδρος Της Βραζιλίας
alliance for rupture day,1,yes,Alliance For Rupture Day,Συμμαχία Για Την Ημέρα Ρήξης
virus,1,yes,Virus,Ιός
daily capital,1,yes,Daily Capital,Καθημερινή Πρωτεύουσα
fifteen-year-old student,1,yes,Fifteen-year-old Student,Δεκαπεντάχρονος Μαθητής
five months,1,yes,Five Months,Πέντε Μήνες
apostolaki,1,yes,Apostolaki,Αποστολάκη
despina damianidou,1,yes,Despina Damianidou,Δέσποινα Δαμιανίδου
george ioannidis,1,yes,George Ioannidis,Γεώργιος Ιωαννίδης
michael makarios,1,yes,Michael Makarios,Michael Makarios
kostas dwarf,1,yes,Kostas Dwarf,Kostas Dwarf
george passas,1,yes,George Passas,George Passas
maria neofotistou,1,yes,Maria Neofotistou,Maria Neofotistou
apostle prokova,1,yes,Apostle Prokova,Απόστολοι Του Προφήτη
anastasios hadjilazarou,1,yes,Anastasios Hadjilazarou,Αναστάσιος Χατζηλαζάρου
roman,1,yes,Roman,Μυθιστόρημα
adam smith,1,yes,Adam Smith,Adam Smith
london stock exchange,1,yes,London Stock Exchange,Χρηματιστήριο Του Λονδίνου
roman arena,1,yes,Roman Arena,Ρωμαϊκή Αρένα
public companies,1,yes,Public Companies,Δημόσιες Επιχειρήσεις
privatization,1,yes,Privatization,Ιδιωτικοποίηση
dosan makwari,1,yes,Dosan Makwari,Dosan Makwari
metropolitan london,1,yes,Metropolitan London,Μητροπολιτικό Λονδίνο
tems water,1,yes,Tems Water,Tems Νερό
£5 billion,1,yes,£5 Billion,5 Δισεκατομμύρια Λίρες
£10 billion,1,yes,£10 Billion,10 Δισεκατομμύρια Λίρες
london's sewers,1,yes,London's Sewers,Οι Υπόνομοι Του Λονδίνου
london's water quality,1,yes,London's Water Quality,Η Ποιότητα Του Νερού Του Λονδίνου
pockets,1,yes,Pockets,Τσέπες
bond,1,yes,Bond,Ομόλογο
old party,1,yes,Old Party,Παλιό Κόμμα
oligarchic establishment,1,yes,Oligarchic Establishment,Ολιγαρχικό Κατεστημένο
george loyiadis,1,yes,George Loyiadis,Γεώργιος Λουγιάδης
maria apatzidi,1,yes,Maria Apatzidi,Maria Apatzidi
colombia,1,yes,Colombia,Κολομβία
referendum of '15,1,yes,Referendum Of '15,Δημοψήφισμα Του '15
scholz,1,yes,Scholz,Scholz
predators,1,yes,Predators,Αρπακτικά
hordeynats,1,yes,Hordeynats,Hordeynats
left-wing politics,1,yes,Left-wing Politics,Αριστερή Πολιτική
progressive politics,1,yes,Progressive Politics,Προοδευτική Πολιτική
governing majority,1,yes,Governing Majority,Κυβερνητική Πλειοψηφία
ulysses demeter,1,yes,Ulysses Demeter,Ulysses Demeter
tax day one,1,yes,Tax Day One,Πρώτη Φορολογική Ημέρα
public red loan management company,1,yes,Public Red Loan Management Company,Εταιρεία Διαχείρισης Δημόσιων Κόκκινων Δανείων
admia,1,yes,Admia,Admia
thrace kavala,1,yes,Thrace Kavala,Θράκη Καβάλα
social security system,1,yes,Social Security System,Σύστημα Κοινωνικής Ασφάλισης
twelfth wage,1,yes,Twelfth Wage,Δωδέκατος Μισθός
thirteenth wage,1,yes,Thirteenth Wage,Δέκατος Τρίτος Μισθός
fourteenth wage,1,yes,Fourteenth Wage,Δέκατος Τέταρτος Μισθός
private people,1,yes,Private People,Ιδιώτες
private doctors,1,yes,Private Doctors,Ιδιώτες Γιατροί
political leadership,1,yes,Political Leadership,Πολιτική Ηγεσία
nhs (national health service),1,yes,Nhs (national Health Service),Nhs (εθνική Υπηρεσία Υγείας)
socialist,1,yes,Socialist,Σοσιαλιστικό
national socialist movement,1,yes,National Socialist Movement,Εθνικοσοσιαλιστικό Κίνημα
pachos,1,yes,Pachos,Pachos
congresses,1,yes,Congresses,Συνέδρια
kavala region,1,yes,Kavala Region,Περιοχή Της Καβάλας
peristeris,1,yes,Peristeris,Peristeris
giannis,1,yes,Giannis,Giannis
mytilinios,1,yes,Mytilinios,Mytilinios
council,1,yes,Council,Συμβούλιο
alliance,1,yes,Alliance,Συμμαχία
corporate law,1,yes,Corporate Law,Εταιρικό Δίκαιο
stocks,1,yes,Stocks,Αποθέματα
commodities,1,yes,Commodities,Εμπορεύματα
top man,1,yes,Top Man,Κορυφαίος Άνθρωπος
clerk,1,yes,Clerk,Υπάλληλος
shareholder meeting,1,yes,Shareholder Meeting,Συνέλευση Των Μετόχων
management,1,yes,Management,Διαχείριση
general assembly,1,yes,General Assembly,Γενική Συνέλευση
business,1,yes,Business,Επιχείρηση
montragon,1,yes,Montragon,Montragon
koukue,1,yes,Koukue,Coukue
antarsia,1,yes,Antarsia,Antarsia
akou,1,yes,Akou,Όπως
papademou,1,yes,Papademou,Παπαδήμου
mary,1,yes,Mary,Mary
butthead,1,yes,Butthead,Butthead
minister of labor,1,yes,Minister Of Labor,Υπουργός Εργασίας
abc radio national,1,yes,Abc Radio National,Εθνικό Ραδιόφωνο Abc
london edf,1,yes,London Edf,Λονδίνο Edf
greater london,1,yes,Greater London,Μεγαλύτερο Λονδίνο
demetrius,1,yes,Demetrius,Δημήτριος
mandinas,1,yes,Mandinas,Μανταρίνι
lie team,1,yes,Lie Team,Ομάδα Ψεύδους
ehic,1,yes,Ehic,Ehic
texan,1,yes,Texan,Τεξανός
elizabeth pierrakakis,1,yes,Elizabeth Pierrakakis,Ελίζαμπεθ Πιερρακάκη
anne,1,yes,Anne,Anne
aeginetan,1,yes,Aeginetan,Aeginetan
bordeaux,1,yes,Bordeaux,Μπορντό
southern europeans,1,yes,Southern Europeans,Νοτιοευρωπαίοι
mark,1,yes,Mark,Mark
brooklyn bridge,1,yes,Brooklyn Bridge,Γέφυρα Του Μπρούκλιν
paul sweezy,1,yes,Paul Sweezy,Paul Sweezy
albert einstein,1,yes,Albert Einstein,Albert Einstein
newspaper,1,yes,Newspaper,Εφημερίδα
barofax,1,yes,Barofax,Barofax
attiki odos,1,yes,Attiki Odos,Αττικές Οδοί
italian ministry of finance,1,yes,Italian Ministry Of Finance,Υπουργείο Οικονομικών Της Ιταλίας
fraport,1,yes,Fraport,Fraport
palestinian,1,yes,Palestinian,Παλαιστίνιοι
kiev,1,yes,Kiev,Κίεβο
mackenzie,1,yes,Mackenzie,Mackenzie
janis janetakis,1,yes,Janis Janetakis,Janis Janetakis
01/05,1,yes,01/05,01/05
deddie,1,yes,Deddie,Deddie
education system,1,yes,Education System,Εκπαιδευτικό Σύστημα
25.gr day,1,yes,25.gr Day,25.gr Ημέρα
swiss bank credit swiss,1,yes,Swiss Bank Credit Swiss,Ελβετική Τράπεζα Credit Swiss
mussolini,1,yes,Mussolini,Μουσολίνι
mr. draghi,1,yes,Mr. Draghi,Κ. Ντράγκι
mrs. lagarde,1,yes,Mrs. Lagarde,Κυρία Λαγκάρντ
stakoras,1,yes,Stakoras,Στακόρας
sustainable country,1,yes,Sustainable Country,Βιώσιμη Χώρα
central bank of germany,1,yes,Central Bank Of Germany,Κεντρική Τράπεζα Της Γερμανίας
minister of defence,1,yes,Minister Of Defence,Υπουργός Άμυνας
ministry of defence,1,yes,Ministry Of Defence,Υπουργείο Άμυνας
castellorizo,1,yes,Castellorizo,Castellorizo
mckinsey,1,yes,Mckinsey,Mckinsey
secretary general of nato,1,yes,Secretary General Of Nato,Γενικός Γραμματέας Του Νατο
nothing,1,yes,Nothing,Τίποτα
limited company,1,yes,Limited Company,Εταιρεία Περιορισμένης Ευθύνης
corporation,1,yes,Corporation,Εταιρεία
greek social economy,1,yes,Greek Social Economy,Ελληνική Κοινωνική Οικονομία
indonesia,1,yes,Indonesia,Ινδονησία
hawaii,1,yes,Hawaii,Χαβάη
european commissioner,1,yes,European Commissioner,Ευρωπαίος Επίτροπος
young man,1,yes,Young Man,Νεαρός Άνδρας
m.c.e.,1,yes,M.c.e.,M.c.e.
parliamentary,1,yes,Parliamentary,Κοινοβουλευτικό
combination,1,yes,Combination,Συνδυασμός
international exhibition,1,yes,International Exhibition,Διεθνής Έκθεση
alienesti chile,1,yes,Alienesti Chile,Alienesti Chile
hero dioti,1,yes,Hero Dioti,Ήρωας Dioti
merra25,1,yes,Merra25,Blackbird25
genius-michalopoulou,1,yes,Genius-michalopoulou,Genius-michalopoulou
foteini,1,yes,Foteini,Foteini
alexia theodoridou,1,yes,Alexia Theodoridou,Αλεξία Θεοδωρίδου
panagiotis kotronis,1,yes,Panagiotis Kotronis,Παναγιώτης Κοτρώνης
thomas boudourides,1,yes,Thomas Boudourides,Thomas Boudourides
stavros papaioannou,1,yes,Stavros Papaioannou,Σταύρος Παπαϊωάννου
michael pistioli,1,yes,Michael Pistioli,Michael Pistioli
sophia florou,1,yes,Sophia Florou,Σοφία Φλώρου
21/04,1,yes,21/04,21/04
alliance for a break,1,yes,Alliance For A Break,Συμμαχία Για Ένα Διάλειμμα
kriton,1,yes,Kriton,Κρίτων
trissygene economou,1,yes,Trissygene Economou,Trissygene Economou
1898,1,yes,1898,1898
1983,1,yes,1983,1983
αίγιο,1,yes,Αίγιο,Αίγιο
st. george,1,yes,St. George,Σεντ Τζορτζ
souble,1,yes,Souble,Διπλό
sia,1,yes,Sia,Sia
25 chreodoulouparikia,1,yes,25 Chreodoulouparikia,25 Chreodoulouparikia
q,1,yes,Q,Q
credit card,1,yes,Credit Card,Πιστωτική Κάρτα
debt service,1,yes,Debt Service,Εξυπηρέτηση Χρέους
angels,1,yes,Angels,Άγγελοι
25 view,1,yes,25 View,25 Προβολές
new york financier,1,yes,New York Financier,Χρηματοδότης Της Νέας Υόρκης
london broker,1,yes,London Broker,Λονδίνο Μεσίτης
minister of finance,1,yes,Minister Of Finance,Υπουργός Οικονομικών
aluminion of greece,1,yes,Aluminion Of Greece,Aluminion Of Greece
pesine,1,yes,Pesine,Σε Καταδίωξη
deka,1,yes,Deka,Deka
ews,1,yes,Ews,Ews
temps water,1,yes,Temps Water,Θερμοκρασίες Νερού
may 1st,1,yes,May 1st,1η Μαΐου
john polson,1,yes,John Polson,John Polson
2007,1,yes,2007,2007
commercial bank,1,yes,Commercial Bank,Εμπορική Τράπεζα
paulson,1,yes,Paulson,Paulson
obama,1,yes,Obama,Obama
ceo of goldman sachs,1,yes,Ceo Of Goldman Sachs,Διευθύνων Σύμβουλος Της Goldman Sachs
alexis smyrlis,1,yes,Alexis Smyrlis,Αλέξης Σμυρλής
st. anoufrios,1,yes,St. Anoufrios,Άγιος Ανούφριος
herault,1,yes,Herault,Herault
mario dinalis,1,yes,Mario Dinalis,Mario Dinalis
hero,1,yes,Hero,Ήρωας
consultative congress,1,yes,Consultative Congress,Συμβουλευτικό Συνέδριο
hera,1,yes,Hera,Hera
water movements,1,yes,Water Movements,Κινήσεις Νερού
acheloos,1,yes,Acheloos,Acheloos
13 stone years,1,yes,13 Stone Years,13 Πέτρινα Χρόνια
roman empire,1,yes,Roman Empire,Ρωμαϊκή Αυτοκρατορία
european support mechanism,1,yes,European Support Mechanism,Ευρωπαϊκός Μηχανισμός Στήριξης
mrs lagarde,1,yes,Mrs Lagarde,Κυρία Λαγκάρντ
ministry of economy,1,yes,Ministry Of Economy,Υπουργείο Οικονομίας
fufutos,1,yes,Fufutos,Fufutos
supercapital,1,yes,Supercapital,Υπερκεφάλαιο
ares of velouhiotis,1,yes,Ares Of Velouhiotis,Ares Του Velouhiotis
ethniki sa,1,yes,Ethniki Sa,Ethniki Sa
adonis,1,yes,Adonis,Adonis
marinopoulos,1,yes,Marinopoulos,Μαρινόπουλος
